지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22449,2010-01-01 00:00,23,0,0,0,0
22449,2010-01-01 01:00,22.7,1.5,1.1,.7,8.3
22449,2010-01-01 02:00,22.1,2.2,3.1,1.9,11.2
22449,2010-01-01 03:00,22.5,6.6,5,3.1,11.7
22449,2010-01-01 04:00,22.2,1.6,1.2,.8,8.7
22449,2010-01-01 05:00,22.1,1.6,1.1,.5,9
22449,2010-01-01 06:00,22.1,6.4,4.3,2.4,11.6
22449,2010-01-01 07:00,22.7,6.4,4.9,3,12.1
22449,2010-01-01 08:00,22.7,4.1,3.9,2.2,9.8
22449,2010-01-01 09:00,22.9,3.8,3.7,2.2,10.1
22449,2010-01-01 10:00,22.9,2.5,1.8,1.1,10.2
22449,2010-01-01 11:00,23,1.2,1,.6,10
22449,2010-01-01 12:00,23,2.6,2,1.2,11.5
22449,2010-01-01 13:00,22.4,4.6,3.3,2,9.9
22449,2010-01-01 14:00,21.9,5.7,3.6,2.2,8.8
22449,2010-01-01 15:00,21.9,4.9,3.3,2,10.2
22449,2010-01-01 16:00,22.4,1.1,.7,.5,6
22449,2010-01-01 17:00,22.3,1.3,.9,.5,7.9
22449,2010-01-01 18:00,21.9,4.1,2.4,1.4,9
22449,2010-01-01 19:00,22,2.6,1.7,1,8.1
22449,2010-01-01 20:00,22.4,3.7,4,2.4,12.2
22449,2010-01-01 21:00,22.5,2.1,1.5,.9,9
22449,2010-01-01 22:00,22.5,2.1,2.1,1.3,8.9
22449,2010-01-01 23:00,22.8,3.2,2.1,1.3,8.9
22449,2010-01-02 00:00,22.8,4.3,2.6,1.6,8.4
22449,2010-01-02 01:00,22.5,6.3,6.3,3.7,9.6
22449,2010-01-02 02:00,22.1,7.7,4.9,2.8,9
22449,2010-01-02 03:00,22,8.8,6.6,4,8.6
22449,2010-01-02 04:00,22.1,5.4,3.5,2.2,8.7
22449,2010-01-02 05:00,21.9,2.4,1.5,.8,7.9
22449,2010-01-02 06:00,22,4.1,3.8,2.4,8.6
22449,2010-01-02 07:00,22.1,5.7,4.3,2.6,7.5
22449,2010-01-02 08:00,22.3,4.2,2.9,1.8,8.3
22449,2010-01-02 09:00,22.5,3.5,3.3,2.2,9.1
22449,2010-01-02 10:00,22.8,4,2.9,1.9,7.2
22449,2010-01-02 11:00,22.8,3.5,3,1.9,8.5
22449,2010-01-02 12:00,22.9,2.9,2.2,1.3,8.6
22449,2010-01-02 13:00,22.7,2.8,2,1.3,8.1
22449,2010-01-02 14:00,22,2.9,2.5,1.5,8.9
22449,2010-01-02 15:00,22.1,3.8,2.4,1.5,9.3
22449,2010-01-02 16:00,22.1,2.4,1.7,1.1,9.2
22449,2010-01-02 17:00,21.8,1.8,1.3,.8,9.7
22449,2010-01-02 18:00,22,.5,.5,.3,7.6
22449,2010-01-02 19:00,21.7,1.3,1.3,.8,10.1
22449,2010-01-02 20:00,22.2,3,2.2,1.4,9.4
22449,2010-01-02 21:00,22.3,4.2,3.7,2.3,9.7
22449,2010-01-02 22:00,22.5,3.1,2.6,1.7,9
22449,2010-01-02 23:00,22.7,2.7,1.9,1.2,9.1
22449,2010-01-03 00:00,22.6,1.4,1,.6,8
22449,2010-01-03 01:00,22.5,2,1.6,1,9.3
22449,2010-01-03 02:00,22,2.6,1.8,1.1,9
22449,2010-01-03 03:00,21.9,2.7,1.7,1,9.4
22449,2010-01-03 04:00,21.9,1.9,1.7,1,8.9
22449,2010-01-03 05:00,22,1.2,1,.6,8.7
22449,2010-01-03 06:00,22,.5,.5,.3,9.4
22449,2010-01-03 07:00,21.7,1,.8,.4,10.4
22449,2010-01-03 08:00,21.9,1.8,1.4,.8,9.3
22449,2010-01-03 09:00,21.9,3.5,4,2.3,9.8
22449,2010-01-03 10:00,22.1,2.8,1.9,1.1,9.3
22449,2010-01-03 11:00,22.6,2.7,1.9,1.2,9.2
