지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22459,2011-12-04 12:00,19,1.8,.7,.4,9.1
22459,2011-12-04 13:00,18.4,1.8,1.2,.7,7.4
22459,2011-12-04 14:00,18.4,1.8,1.1,.7,7.2
22459,2011-12-04 15:00,18.4,1.6,1,.6,7.1
22459,2011-12-04 16:00,18.4,1.2,.9,.6,6.7
22459,2011-12-04 17:00,18.4,1.5,1,.6,7.6
22459,2011-12-04 18:00,18.3,1.3,.9,.6,7.4
22459,2011-12-05 04:00,18,1.1,.7,.5,6.3
22459,2011-12-05 05:00,17.9,1.1,.7,.4,6.3
22459,2011-12-05 06:00,17.9,1.1,.7,.4,6.8
22459,2011-12-05 07:00,17.9,1.2,.8,.5,6.8
22459,2011-12-05 08:00,18,1.4,.8,.5,7.2
22459,2011-12-05 09:00,18,1.6,1.2,.7,8
22459,2011-12-05 10:00,17.9,1.8,1.1,.7,7.8
22459,2011-12-05 11:00,18,1.6,1.1,.6,6.9
22459,2011-12-05 12:00,17.9,1.6,1.1,.7,7.1
22459,2011-12-05 13:00,17.9,1.4,.9,.6,6.6
22459,2011-12-05 14:00,17.9,1.6,1.1,.7,6.8
22459,2011-12-05 15:00,17.8,1.5,1.1,.7,6.3
22459,2011-12-05 16:00,17.7,1.9,1.2,.8,6.2
22459,2011-12-05 17:00,17.7,1.9,1.2,.7,5.9
22459,2011-12-05 18:00,17.5,1.8,1.2,.8,6.1
22459,2011-12-05 19:00,17.3,1.8,1.2,.8,6.8
22459,2011-12-05 20:00,17,1.8,1.2,.7,6.7
22459,2011-12-05 21:00,17,1.3,.9,.5,6.3
22459,2011-12-05 22:00,17,1.3,.8,.5,5.8
22459,2011-12-05 23:00,17.4,1.1,.8,.5,6.2
22459,2011-12-06 00:00,17.4,1.4,.8,.5,6.1
22459,2011-12-06 01:00,17.4,1.1,.7,.5,5.8
22459,2011-12-06 02:00,17.6,1.1,.7,.5,6.3
22459,2011-12-06 03:00,17.6,1.2,.8,.5,6
