지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22443,2010-01-01 00:00,21.3,0,0,0,0
22443,2010-12-27 17:00,14.8,3.1,2.3,1.4,6.8
22443,2010-12-27 18:00,14.9,2.3,2,1.3,6.7
22443,2010-12-27 19:00,14.8,2.6,1.7,1.1,6.3
22443,2010-12-27 20:00,14.9,1.5,1.3,.9,6.3
22443,2010-12-27 21:00,14.8,1.9,1.2,.8,5.8
22443,2010-12-27 22:00,14.8,2.6,1.8,1.1,6.3
22443,2010-12-27 23:00,14.9,2.8,1.7,1.1,6.2
22443,2010-12-28 00:00,14.9,2.7,1.7,1.1,6
22443,2010-12-28 01:00,14.9,2.1,1.6,1,5.9
22443,2010-12-28 02:00,14.8,2,1.5,.9,5.6
22443,2010-12-28 03:00,14.8,1.6,1.3,.8,5.5
22443,2010-12-28 04:00,14.8,2,1.4,.9,5.6
22443,2010-12-28 05:00,14.8,2.4,1.4,1,5.8
22443,2010-12-28 06:00,14.8,1.9,1.4,.9,5.7
22443,2010-12-28 07:00,14.8,2.3,1.7,1.2,5.9
22443,2010-12-28 08:00,14.8,2.2,1.6,1,5.5
22443,2010-12-28 09:00,14.8,2.4,1.6,1,5.2
22443,2010-12-28 10:00,14.9,2.8,1.7,1.1,5.2
22443,2010-12-28 11:00,14.9,2.6,1.7,1.1,5.2
22443,2010-12-28 12:00,14.8,2.1,1.6,1,5.1
22443,2010-12-28 13:00,14.8,2.1,1.5,.9,5
22443,2010-12-28 14:00,14.8,2.1,1.5,1,5.1
22443,2010-12-28 15:00,14.8,2.7,1.7,1.1,5.1
22443,2010-12-28 16:00,14.8,1.9,1.6,1,5.3
22443,2010-12-28 17:00,14.8,1.7,1.4,.9,5.3
22443,2010-12-28 18:00,14.7,1.7,1.3,.8,5.2
22443,2010-12-28 19:00,14.7,2.3,1.8,1.1,5.4
22443,2010-12-28 20:00,14.7,2.3,1.8,1.2,5.7
22443,2010-12-28 21:00,14.7,2.2,1.6,1,5.4
22443,2010-12-28 22:00,14.7,2.2,1.6,1,5.5
22443,2010-12-28 23:00,14.7,2.9,1.9,1.2,5.8
22443,2010-12-29 00:00,14.7,2.7,2,1.2,5.9
22443,2010-12-29 01:00,14.7,2.6,1.7,1.1,5.7
22443,2010-12-29 02:00,14.7,2.4,1.7,1.1,6.1
22443,2010-12-29 03:00,14.6,2.7,1.9,1.2,5.8
22443,2010-12-29 04:00,14.7,2.7,1.9,1.2,5.9
22443,2010-12-29 05:00,14.6,2.7,1.8,1.2,5.9
22443,2010-12-29 06:00,14.6,2.5,2,1.3,6
22443,2010-12-29 07:00,14.6,2.8,2,1.3,6.4
22443,2010-12-29 08:00,14.6,3,2.1,1.4,5.9
22443,2010-12-29 09:00,14.7,2.8,2,1.3,6
22443,2010-12-29 10:00,14.6,2.2,1.6,1.1,5.7
22443,2010-12-29 11:00,14.6,2.3,1.7,1.1,6.1
22443,2010-12-29 12:00,14.6,1.7,1.4,.9,5.8
22443,2010-12-29 13:00,14.6,2.4,1.5,.9,5.5
22443,2010-12-29 14:00,14.7,2.1,1.5,1,6
22443,2010-12-29 15:00,14.7,1.9,1.4,.9,5.9
22443,2010-12-29 16:00,14.8,1.7,1.2,.8,6.2
22443,2010-12-29 17:00,14.8,1.5,1.1,.7,6.1
22443,2010-12-29 18:00,14.8,1.1,.9,.6,5.2
22443,2010-12-29 19:00,14.7,1.1,.8,.5,5.2
22443,2010-12-29 20:00,14.7,1,.8,.5,5.3
22443,2010-12-29 21:00,14.7,1,.7,.4,5
22443,2010-12-29 22:00,14.8,1,.7,.5,5.1
22443,2010-12-29 23:00,14.9,.9,.6,.4,4.8
22443,2010-12-30 00:00,14.8,1,.7,.4,4.8
22443,2010-12-30 01:00,14.9,1.1,.8,.5,4.2
22443,2010-12-30 02:00,14.8,1.4,1,.6,3.8
22443,2010-12-30 03:00,14.7,1.6,1.2,.8,4.5
22443,2010-12-30 04:00,14.8,2,1.4,.9,5.2
22443,2010-12-30 05:00,14.7,1.8,1.3,.9,5.4
22443,2010-12-30 06:00,14.7,1.8,1.2,.8,5.3
22443,2010-12-30 07:00,14.8,1.6,1.1,.7,5.4
22443,2010-12-30 08:00,14.8,1.7,1.2,.8,5.3
22443,2010-12-30 09:00,14.7,1.8,1.3,.9,5.2
22443,2010-12-30 10:00,14.7,1.8,1.3,.8,5
22443,2010-12-30 11:00,14.7,1.6,1.1,.7,5.3
22443,2010-12-30 12:00,14.6,2.2,1.7,1.1,5.7
22443,2010-12-30 13:00,14.6,2.3,1.6,1,5.5
22443,2010-12-30 14:00,14.5,2.6,1.9,1.1,5.6
22443,2010-12-30 15:00,14.8,2.8,2.2,1.4,6
22443,2010-12-30 16:00,14.8,3.5,2.3,1.4,6.2
22443,2010-12-30 17:00,14.7,2.8,2.3,1.4,6.4
22443,2010-12-30 18:00,14.5,2.7,2,1.3,6
22443,2010-12-30 19:00,14.6,3.1,2.4,1.6,6.1
22443,2010-12-30 20:00,14.5,3.1,2,1.3,5.9
22443,2010-12-30 21:00,14.5,2.4,1.8,1.1,5.8
22443,2010-12-30 22:00,14.4,2.6,1.5,1,5.9
22443,2010-12-30 23:00,14.2,2,1.4,.9,6
22443,2010-12-31 00:00,14.4,2.3,1.6,1,6.3
22443,2010-12-31 01:00,14.4,1.6,1.5,.9,6.2
22443,2010-12-31 02:00,14.3,1.9,1.4,.9,6.3
22443,2010-12-31 03:00,14.3,1.8,1.2,.8,6.2
22443,2010-12-31 04:00,14.4,2,1.6,1,6.6
22443,2010-12-31 05:00,14.3,2.2,1.5,1,6.3
22443,2010-12-31 06:00,14.3,2,1.5,1,6
22443,2010-12-31 07:00,14.3,2.1,1.6,1.1,6.5
22443,2010-12-31 08:00,14.3,2.5,1.7,1.1,6.3
22443,2010-12-31 09:00,14.4,2,1.6,1,6.5
22443,2010-12-31 10:00,14.4,2,1.3,.9,6
22443,2010-12-31 11:00,14.4,1.9,1.5,1,6
22443,2010-12-31 12:00,14.4,1.9,1.4,.9,6
22443,2010-12-31 13:00,14.2,1.9,1.4,.9,5.8
22443,2010-12-31 14:00,14.3,1.9,1.5,.9,5.9
22443,2010-12-31 15:00,14.3,1.8,1.4,.9,5.7
22443,2010-12-31 16:00,14.3,2.2,1.4,.9,5.7
22443,2010-12-31 17:00,14.2,1.9,1.5,.9,5.6
22443,2010-12-31 18:00,14.3,2,1.5,.9,5.6
22443,2010-12-31 19:00,14.3,2.5,1.6,1,5.7
22443,2010-12-31 20:00,14.2,3.1,2.1,1.2,6
22443,2010-12-31 21:00,14.2,2.7,1.9,1.3,6.1
22443,2010-12-31 22:00,14.2,2.8,1.8,1.2,6.1
22443,2010-12-31 23:00,14.2,3,1.9,1.2,6.1
