지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22486,2014-11-26 15:49,0,0,0,0,0
22486,2014-11-26 15:51,14.4,0,0,0,0
22486,2014-11-27 10:05,16.2,0,0,0,0
22486,2014-11-27 11:00,18.9,.6,.4,.2,4.3
22486,2014-11-27 12:00,19,.5,.4,.2,4.4
22486,2014-11-27 13:00,19.2,.5,.4,.2,4.4
22486,2014-11-27 14:00,19.2,.4,.3,.2,4.3
22486,2014-11-27 15:00,19.4,.5,.3,.2,3.7
22486,2014-11-27 16:00,19.4,.5,.3,.2,3.6
22486,2014-11-27 17:00,19.4,.4,.3,.2,3.6
22486,2014-11-27 18:00,19.4,.5,.3,.2,3.8
22486,2014-11-27 19:00,19.3,.4,.2,.2,4.3
22486,2014-11-27 20:00,19.3,.3,.2,.1,4.5
22486,2014-11-27 21:00,19.3,.3,.2,.1,4.1
22486,2014-11-27 22:00,18.8,.4,.2,.2,4.2
22486,2014-11-27 23:00,19,.3,.2,.1,4.5
22486,2014-11-28 00:00,18.9,.3,.2,.2,4.7
22486,2014-11-28 01:00,19,.4,.2,.2,4.8
22486,2014-11-28 02:00,19.1,.4,.3,.2,3.3
22486,2014-11-28 03:00,19.2,.3,.2,.1,3.5
22486,2014-11-28 04:00,19.3,.4,.2,.2,3.7
22486,2014-11-28 05:00,19.3,.5,.3,.2,2.9
22486,2014-11-28 06:00,19.3,.6,.4,.3,3.6
22486,2014-11-28 07:00,19.2,.6,.4,.3,3.2
22486,2014-11-28 08:00,19.2,.7,.5,.3,3.6
22486,2014-11-28 09:00,19.2,.8,.5,.3,3.9
22486,2014-11-28 10:00,19,.7,.5,.3,3.9
22486,2014-11-28 11:00,19,.7,.5,.3,3.7
22486,2014-11-28 12:00,19,.9,.7,.4,3.8
22486,2014-11-28 13:00,19.3,1,.7,.5,3.7
22486,2014-11-28 14:00,19.2,1.3,.9,.6,3.8
22486,2014-11-28 15:00,19.3,1.5,1.2,.8,4.3
22486,2014-11-28 16:00,19.4,1.9,1.3,.8,4.6
22486,2014-11-28 17:00,19.4,1.6,1.1,.7,4.8
22486,2014-11-28 18:00,19.3,1.6,1.1,.7,4.9
22486,2014-11-28 19:00,19.3,1.7,1.2,.8,5
22486,2014-11-28 20:00,19.3,1.8,1.2,.8,5.2
22486,2014-11-28 21:00,19.6,1.9,1.3,.9,5.5
22486,2014-11-28 22:00,19.6,1.9,1.3,.8,5.9
22486,2014-11-28 23:00,19.6,2.2,1.6,1,6
22486,2014-11-29 00:00,18.6,2.3,1.6,1.1,6.5
22486,2014-11-29 01:00,18.7,2.3,1.6,1,6.1
22486,2014-11-29 02:00,19.1,1.9,1.6,1,6.4
22486,2014-11-29 03:00,19.4,1.9,1.6,1.1,6.7
22486,2014-11-29 04:00,19.4,2.2,1.5,1,6.2
22486,2014-11-29 05:00,19.4,2.3,1.6,1,6.4
22486,2014-11-29 06:00,19.4,1.8,1.5,1,6.5
22486,2014-11-29 07:00,19.3,2,1.4,.9,6.3
22486,2014-11-29 08:00,18.2,1.8,1.4,.9,6.6
22486,2014-11-29 09:00,18.2,1.5,1.2,.8,6
22486,2014-11-29 10:00,18.2,1.5,1.1,.7,5.4
22486,2014-11-29 11:00,18.5,1.7,1.2,.8,5.5
22486,2014-11-29 12:00,18.1,1.7,1.1,.7,5.6
22486,2014-11-29 13:00,18,1.3,1,.6,5.4
22486,2014-11-29 14:00,17.9,1.3,.9,.6,5.1
22486,2014-11-29 15:00,18.3,1,.8,.5,5.2
22486,2014-11-29 16:00,18.7,1.1,.8,.5,5.2
22486,2014-11-29 17:00,19,.8,.6,.4,5
22486,2014-11-29 18:00,19.1,.9,.6,.4,5.3
22486,2014-11-29 19:00,19,.7,.6,.4,5.2
22486,2014-11-29 20:00,19,.7,.6,.4,5.6
22486,2014-11-29 21:00,19.1,.7,.6,.4,5.8
22486,2014-11-29 22:00,19.2,.7,.6,.4,5.8
22486,2014-11-29 23:00,19.1,.7,.6,.4,5.6
22486,2014-11-30 00:00,18.5,.7,.6,.4,5.8
22486,2014-11-30 01:00,18.6,.7,.5,.3,5.4
22486,2014-11-30 02:00,18.7,.7,.4,.3,5.7
22486,2014-11-30 03:00,18.6,.6,.4,.2,4.6
22486,2014-11-30 04:00,18.8,.5,.3,.2,5.4
22486,2014-11-30 05:00,19.1,.8,.5,.3,3.6
22486,2014-11-30 06:00,19.4,.5,.4,.2,3.5
22486,2014-11-30 07:00,19.3,.9,.8,.5,4
22486,2014-11-30 08:00,19.3,.8,.6,.4,3.9
22486,2014-11-30 09:00,19.2,.8,.5,.3,3.8
22486,2014-11-30 10:00,18.9,.6,.4,.3,4.4
22486,2014-11-30 11:00,19,.5,.4,.2,4.5
22486,2014-11-30 12:00,18.8,.6,.4,.2,4.4
22486,2014-11-30 13:00,18.7,.6,.4,.3,4.5
22486,2014-11-30 14:00,18.8,.6,.4,.3,4.2
22486,2014-11-30 15:00,18.8,.6,.4,.3,3.7
22486,2014-11-30 16:00,18.9,.9,.6,.4,3.5
22486,2014-11-30 17:00,19.3,1,.7,.5,3.6
22486,2014-11-30 18:00,19.4,1.3,.9,.6,3.9
22486,2014-11-30 19:00,19.3,2,1.3,.9,4.3
22486,2014-11-30 20:00,19.3,2.3,1.8,1.2,5.1
22486,2014-11-30 21:00,19.3,3.6,2.2,1.4,5.8
22486,2014-11-30 22:00,19.3,3.6,2.5,1.6,6.2
22486,2014-11-30 23:00,19.3,3.8,2.7,1.7,6.6
22486,2014-12-01 00:00,19.1,3.2,2.5,1.6,6.3
22486,2014-12-01 01:00,19.1,3.2,2.5,1.6,6.2
22486,2014-12-01 02:00,19,3.1,2.3,1.4,6.2
