지점,일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
22442,2010-01-01 00:00,6.9,0,0,0,0
22442,2010-01-01 00:01,7,0,0,0,0
22442,2010-12-27 18:00,14.7,3.4,2.4,1.4,7.4
22442,2010-12-27 19:00,14.6,3.5,2.5,1.6,7.5
22442,2010-12-27 20:00,14.7,2.6,2.2,1.4,7.4
22442,2010-12-27 21:00,14.7,2.8,2.1,1.3,7.3
22442,2010-12-27 22:00,14.6,2.1,1.9,1.2,7.1
22442,2010-12-27 23:00,14.6,2.7,1.9,1.2,7.2
22442,2010-12-28 00:00,14.6,1.7,1.5,.9,7
22442,2010-12-28 01:00,14.6,2.2,1.7,1.1,6.8
22442,2010-12-28 02:00,14.7,2,1.6,.9,6.9
22442,2010-12-28 03:00,14.7,2.3,1.7,1,6.8
22442,2010-12-28 04:00,14.6,2,1.5,.9,6.4
22442,2010-12-28 05:00,14.8,2.1,1.4,.9,6.2
22442,2010-12-28 06:00,15,2.1,1.4,.9,6.3
22442,2010-12-28 07:00,15,1.5,1.3,.8,6.4
22442,2010-12-28 08:00,15,1.6,1.2,.8,6.2
22442,2010-12-28 09:00,14.9,1.6,1.1,.7,6.1
22442,2010-12-28 10:00,14.9,1.5,1.2,.8,5.4
22442,2010-12-28 11:00,14.9,1.4,1.2,.7,5.4
22442,2010-12-28 12:00,14.9,1.7,1.3,.8,5.1
22442,2010-12-28 13:00,14.9,2,1.4,.9,5.2
22442,2010-12-28 14:00,14.9,2.2,1.6,1,5.3
22442,2010-12-28 15:00,14.9,2.1,1.6,1,5.4
22442,2010-12-28 16:00,14.9,2.3,1.7,1.1,5.4
22442,2010-12-28 17:00,14.8,2.4,1.8,1.1,5.4
22442,2010-12-28 18:00,14.8,2.7,1.9,1.2,5.5
22442,2010-12-28 19:00,14.7,2.8,2.2,1.4,5.9
22442,2010-12-28 20:00,14.7,3.1,2.2,1.4,6.1
22442,2010-12-28 21:00,14.6,2.7,2.1,1.4,6
22442,2010-12-28 22:00,14.6,2.7,2,1.3,6.3
22442,2010-12-28 23:00,14.6,2.7,1.8,1.1,6
22442,2010-12-29 00:00,14.8,2.8,2,1.2,6.4
22442,2010-12-29 01:00,14.7,2.6,1.8,1.1,5.8
22442,2010-12-29 02:00,14.7,2.4,2,1.3,6.1
